"X","Y"
-52.1538738,-32.0713737
-52.1514754,-32.0713959
-52.1608904,-32.0579086
-52.1618669,-32.0559723
-52.1613343,-32.0570004
-52.1608904,-32.0579086
-52.1812835,-32.0716821
-52.1408866,-32.0623724
-52.1408866,-32.0623724
-52.1550581,-32.0695469
-52.1531578,-32.069493
-52.1511963,-32.069444
-52.1657051,-32.0624645
-52.1667463,-32.0601698
-52.1961472,-32.0814784
-52.1969417,-32.0805977
-52.1927278,-32.0854036
-52.1571649,-32.0734343
-52.1572731,-32.07341
-52.184282,-32.0848437
-52.1834823,-32.084218
-52.1806276,-32.0819306
-52.1554309,-32.0558798
-52.1559104,-32.054964
-52.1554309,-32.0558798
-52.1561007,-32.0572573
-52.15665,-32.0585542
-52.15665,-32.0585542
-52.1573988,-32.0596179
-52.15665,-32.0585542
-52.1561007,-32.0572573
-52.1847622,-32.0845831
-52.183871,-32.0838661
-52.1847622,-32.0845831
-52.1936772,-32.0788478
-52.1885207,-32.0846959
-52.1954615,-32.0849079
-52.1953376,-32.0797235
-52.1953376,-32.0797235
-52.183339,-32.0853993
-52.1827296,-32.0848993
-52.1799027,-32.0825965
-52.1837122,-32.0729739
-52.1773156,-32.0773489
-52.1782985,-32.0760597
-52.1793121,-32.0746959
-52.1803178,-32.0733759
-52.1815253,-32.07181
-52.1716207,-32.0657618
-52.1719246,-32.0653025
-52.1713973,-32.0660993
-52.1506463,-32.0601202
-52.1852294,-32.0843177
-52.1842415,-32.0835307
-52.1813951,-32.0812369
-52.1861745,-32.0837605
-52.1850299,-32.0828308
-52.1861745,-32.0837605
-52.1828867,-32.0856632
-52.1823427,-32.0852495
-52.1815618,-32.0846218
-52.1756353,-32.0764037
-52.1766083,-32.0751156
-52.1776376,-32.0737966
-52.1786535,-32.0724523
-52.1798303,-32.0709079
-52.1527123,-32.0684034
-52.150328,-32.0683471
-52.1466087,-32.0546613
-52.1448647,-32.0588537
-52.1856948,-32.0840434
-52.1846243,-32.0831842
-52.1817875,-32.0808822
-52.1944716,-32.0792764
-52.1944716,-32.0792764
-52.1768616,-32.066606
-52.175626,-32.0687189
-52.1841345,-32.0724089
-52.1816723,-32.0711132
-52.1816723,-32.0711132
-52.1548368,-32.0689704
-52.1529324,-32.0689417
-52.1568281,-32.0690389
-52.1571651,-32.0690521
-52.1801447,-32.0789174
-52.1811441,-32.0776185
-52.1821642,-32.0762927
-52.1831844,-32.0749667
-52.1801447,-32.0789174
-52.1790042,-32.0782698
-52.1799964,-32.0769793
-52.1810177,-32.0756508
-52.1820343,-32.0743285
-52.1832621,-32.0727344
-52.1811917,-32.0795119
-52.1821992,-32.0782062
-52.1832197,-32.0768836
-52.1842448,-32.0755552
-52.1811917,-32.0795119
-52.1806802,-32.0792215
-52.1816809,-32.0779175
-52.1826984,-32.0765917
-52.1837181,-32.0752629
-52.1849649,-32.0736405
-52.1801198,-32.071062
-52.1837967,-32.0851267
-52.183086,-32.0845766
-52.1837967,-32.0851267
-52.1814633,-32.0701652
-52.1817314,-32.0697113
-52.1928008,-32.0783755
-52.1928008,-32.0783755
-52.1534543,-32.0596541
-52.1549443,-32.0568017
-52.1539599,-32.0586774
-52.1544931,-32.0577232
-52.1549443,-32.0568017
-52.1770387,-32.0715817
-52.1781773,-32.0700593
-52.1563811,-32.067987
-52.1524949,-32.0678716
-52.1575122,-32.0680324
-52.1601798,-32.0614455
-52.1607695,-32.0589444
-52.1605387,-32.0598873
-52.1610555,-32.0579584
-52.1599987,-32.0621496
-52.1414645,-32.0603827
-52.1850285,-32.0728793
-52.1846021,-32.0734474
-52.176197,-32.0767243
-52.1771928,-32.0754405
-52.1782141,-32.0741192
-52.1792083,-32.0727601
-52.1803973,-32.0712096
-52.1795683,-32.0785901
-52.1805779,-32.077294
